"geschl"	"nudelmag"	"groe"	"gewi"	"filmemag"	"nudelso"	"alter"	"state"	"date"	"test"
1	1	170.3	88	2	1	39	"wie gehabt"	13936665600	"A"
1	2	180.2	101	3	1	49	""	13936665600	"B"
1	2	172.7	74	1	2	-8	""	13936665600	"C"
1	4	167.5	55	3	1	20	"keine Anmerkung"	13936665600	"D"
1	2	177.1	80	1	1	48	""	13936665600	"E"
1	2	199	98	3	1	24	""	13936579200	"F"
2	4	155.4	-9	1	1	34	""	13936579200	"G"
2	4	170.9	70	2	1	14	""	13936579200	"H"
2	3	164.2	66	4	1	-9	"könnte besser sein..."	13936406400	"I"
2	4	162.8	56	1	2	43	"nix .; 'bla"" ?!"	13936406400	"J"
2	3	160	53	3	-9	24	"-.-"	13936406400	"K"
